Feature_1;Feature_2;Feature_3;Feature_4;Feature_5;Feature_6;Feature_7;Feature_8;Feature_9;Feature_10;Feature_11;Feature_12;Feature_13;Feature_14;Feature_15;Feature_16;Feature_17;Feature_18;Feature_19;Feature_20;Feature_21;Feature_22;Feature_23;Feature_24;Feature_25;Feature_26;Feature_27;Feature_28;Feature_29;Feature_30;Feature_31;Feature_32;Output
A;A;A;D;A;G;C;A;;;1;0;0;;;;;1723;1723;0;24;2012;0;37;42;37;42;0;0;0;0;0;1198
A;A;A;D;A;G;C;A;;;;0;0;;;0;0;0;0;0;;;;;44;;28;0;0;0;0;0;
A;A;A;D;A;G;C;A;2005;;752;151;243;;20;;732;389;1247;3065;21;2008;0;4296;3982;1718;1593;1;1;22;1;30;2882
B;A;A;D;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;
B;A;A;D;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;
B;A;A;D;A;G;C;A;;2004;19664;60;4;6;17;0;0;0;;;1568;2013;0;186;184;93;92;0;0;0;0;0;2168
B;A;A;D;A;G;C;A;2010;2004;296;48;7;7;20;258;208;590;708;1881;143;2013;0;1076;1100;538;550;1;1;251;1;296;1133
D;A;A;D;A;G;C;A;2009;1989;370;56;8;7;50;;;3653;4590;;-72;2012;0;1725;2185;863;1093;1;1;136;0;0;2696
E;A;A;D;A;G;C;A;;;;0;0;;;;;;;0;;;0;195;206;56;59;1;1;6;1;9;
E;A;A;D;A;G;C;A;;;60;0;0;;;;;;;0;;;0;208;190;59;54;1;1;8;1;10;
E;A;A;D;A;G;C;A;;;146;0;0;;;;0;;1174;0;0;2010;;;67;;19;1;1;2;1;2;1440
E;A;A;D;A;G;C;A;;;;0;20;;;0;0;;;0;;;0;1477;1565;591;626;1;1;24;1;37;
F;A;A;D;A;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;0;0;0;0;
F;A;A;D;A;G;C;A;2009;1986;168;90;5;2;30;384;379;273;400;1414;199;2010;0;3353;3763;2012;2258;1;1;214;1;222;2151
B;A;A;A;A;G;C;A;;;;0;0;;;516;;;;0;;;;;50;;35;1;1;7;1;9;
F;A;A;D;A;G;C;A;;;;0;0;;;0;;0;0;0;;;0;151;201;30;40;0;0;0;0;0;
C;A;A;A;;G;C;A;;;414;0;5;;;114;180;90;384;0;-7;2011;-7;4500;4498;2205;2204;1;1;5;1;10;588
E;A;A;A;;G;C;A;;;;0;0;;;0;0;;;0;0;;0;;0;;0;0;0;0;0;0;
E;A;A;A;;G;C;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
E;A;A;A;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;1493;;498;1;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;154;;15;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;117;;12;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;160;;16;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;37;;4;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;55;;6;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;134;;13;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;35;;4;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;1023;;102;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;68;;7;0;0;0;0;0;
